Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,263,80763,39431,48.82
METROPOLITANA DE SANTIAGO,SAN JOSE DE MAIPO,48,16006,8092,50.56
METROPOLITANA DE SANTIAGO,SAN MIGUEL,313,105216,53111,50.48
METROPOLITANA DE SANTIAGO,SAN PEDRO,25,8577,3632,42.35
METROPOLITANA DE SANTIAGO,SAN RAMON,251,80041,34186,42.71
METROPOLITANA DE SANTIAGO,SANTIAGO,1049,339067,136385,40.22
METROPOLITANA DE SANTIAGO,TALAGANTE,173,58940,31476,53.4
METROPOLITANA DE SANTIAGO,TILTIL,54,14962,7207,48.17
METROPOLITANA DE SANTIAGO,VITACURA,265,88802,61285,69.01
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,TOTAL,2351,780303,368870,47.27
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,41,13827,5195,37.57
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,90,30692,13482,43.93
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,35,11661,5409,46.39
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COINCO,22,7305,3331,45.6
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,48,16381,7216,44.05
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,59,18597,8770,47.16
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,80,27062,13581,50.18
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LA ESTRELLA,15,3799,1843,48.51
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,65,20829,9048,43.44
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,22,6624,3186,48.1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,21,6957,3026,43.5
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,114,38282,20631,53.89
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MALLOA,43,12391,5462,44.08
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MARCHIGUE,22,7159,3104,43.36
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,64,21204,9853,46.47
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,45,15306,6881,44.96
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,21,7214,3246,45.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,OLIVAR,42,12567,6280,49.97
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,31,10565,4703,44.51
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PAREDONES,24,7049,3094,43.89
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,30,10158,4443,43.74
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PEUMO,39,12895,6030,46.76
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,50,17017,6955,40.87
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,49,16735,8500,50.79
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,25,8296,3962,47.76
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,13,4262,1929,45.26
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,37,12463,5892,47.28
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,574,195074,95361,48.88
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,149,49052,23350,47.6
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,69,23324,11777,50.49
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,187,63060,30606,48.53
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,133,40881,19086,46.69
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,92,31615,13638,43.14
DEL MAULE,TOTAL,2730,892246,409558,45.9
DEL MAULE,CAUQUENES,120,37684,15940,42.3
DEL MAULE,CHANCO,34,9369,3654,39.0
DEL MAULE,COLBUN,55,18716,7739,41.35
DEL MAULE,CONSTITUCION,122,40149,17751,44.21
DEL MAULE,CUREPTO,36,10330,4129,39.97
DEL MAULE,CURICO,383,118541,58486,49.34
DEL MAULE,EMPEDRADO,15,4523,1835,40.57
DEL MAULE,HUALAÑE,32,9788,4218,43.09
DEL MAULE,LICANTEN,24,6897,3054,44.28
DEL MAULE,LINARES,241,82252,37152,45.17
DEL MAULE,LONGAVI,79,27055,10230,37.81
DEL MAULE,MAULE,78,25279,12196,48.25
DEL MAULE,MOLINA,119,39735,19131,48.15
DEL MAULE,PARRAL,128,38210,16955,44.37
DEL MAULE,PELARCO,26,8675,3693,42.57
DEL MAULE,PELLUHUE,26,7912,4124,52.12
DEL MAULE,PENCAHUE,37,10371,4999,48.2
DEL MAULE,RAUCO,29,10014,4387,43.81
DEL MAULE,RETIRO,52,17799,7381,41.47
DEL MAULE,RIO CLARO,36,12186,5579,45.78
DEL MAULE,ROMERAL,41,14037,6502,46.32
DEL MAULE,SAGRADA FAMILIA,50,16115,7430,46.11
DEL MAULE,SAN CLEMENTE,110,37611,15050,40.01
DEL MAULE,SAN JAVIER,117,39506,16119,40.8
DEL MAULE,SAN RAFAEL,26,8670,4168,48.07
DEL MAULE,TALCA,532,181299,92542,51.04
DEL MAULE,TENO,73,25073,9920,39.56
DEL MAULE,VICHUQUEN,21,5335,2782,52.15
DEL MAULE,VILLA ALEGRE,41,14020,5971,42.59
DEL MAULE,YERBAS BUENAS,47,15095,6441,42.67
DE ÑUBLE,TOTAL,1342,430998,193952,45.0
