Region,City,Boric,Kast,Provoste,Sichel,Artes,Enriquez,Parisi,Votos_Emitidos,Votos_Nulos,Votos_Blancos,Votos_Total,Boric_per,Kast_per,Provoste_per,Sichel_per,Artes_per,Enriquez_per,Parisi_per,Votos_Emitidos_per,Votos_Nulos_per,Votos_Blancos_per,Votos_Total_per
DE LOS LAGOS,QUINCHAO,712,515,626,191,25,127,276,2472,29,33,2534,28.8,20.83,25.32,7.73,1.01,5.14,11.17,97.55,1.14,1.3,100.0
DE LOS LAGOS,RIO NEGRO,891,2158,1314,703,50,290,827,6233,66,44,6343,14.29,34.62,21.08,11.28,0.8,4.65,13.27,98.27,1.04,0.69,100.0
DE LOS LAGOS,SAN JUAN DE LA COSTA,746,838,1228,328,66,231,518,3955,51,31,4037,18.86,21.19,31.05,8.29,1.67,5.84,13.1,97.97,1.26,0.77,100.0
DE LOS LAGOS,SAN PABLO,757,1566,1168,454,55,254,544,4798,52,33,4883,15.78,32.64,24.34,9.46,1.15,5.29,11.34,98.26,1.06,0.68,100.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,total,9975,11761,6580,3921,508,2017,5146,39908,435,340,40683,24.99,29.47,16.49,9.83,1.27,5.05,12.89,98.1,1.07,0.84,100.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,2188,2314,1402,716,126,551,1664,8961,102,86,9149,24.42,25.82,15.65,7.99,1.41,6.15,18.57,97.95,1.11,0.94,100.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CHILE CHICO,601,488,332,173,26,86,184,1890,29,22,1941,31.8,25.82,17.57,9.15,1.38,4.55,9.74,97.37,1.49,1.13,100.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CISNES,409,764,283,210,23,118,264,2071,17,27,2115,19.75,36.89,13.66,10.14,1.11,5.7,12.75,97.92,0.8,1.28,100.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COCHRANE,357,428,264,176,12,49,101,1387,24,29,1440,25.74,30.86,19.03,12.69,0.87,3.53,7.28,96.32,1.67,2.01,100.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,5787,6756,3845,2350,284,1090,2692,22804,210,124,23138,25.38,29.63,16.86,10.31,1.25,4.78,11.8,98.56,0.91,0.54,100.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GUAITECAS,129,150,80,43,4,18,68,492,2,5,499,26.22,30.49,16.26,8.74,0.81,3.66,13.82,98.6,0.4,1.0,100.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,LAGO VERDE,75,216,65,46,11,16,31,460,11,5,476,16.3,46.96,14.13,10.0,2.39,3.48,6.74,96.64,2.31,1.05,100.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,O'HIGGINS,75,142,47,26,3,5,16,314,5,6,325,23.89,45.22,14.97,8.28,0.96,1.59,5.1,96.62,1.54,1.85,100.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,RIO IBAÑEZ,287,464,227,161,11,69,112,1331,25,29,1385,21.56,34.86,17.05,12.1,0.83,5.18,8.41,96.1,1.81,2.09,100.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,TORTEL,67,39,35,20,8,15,14,198,10,7,215,33.84,19.7,17.68,10.1,4.04,7.58,7.07,92.09,4.65,3.26,100.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,total,21137,19292,6854,5760,668,6645,8721,69077,648,304,70029,30.6,27.93,9.92,8.34,0.97,9.62,12.63,98.64,0.93,0.43,100.0
