Region,City,Boric,Kast,Provoste,Sichel,Artes,Enriquez,Parisi,Votos_Emitidos,Votos_Nulos,Votos_Blancos,Votos_Total,Boric_per,Kast_per,Provoste_per,Sichel_per,Artes_per,Enriquez_per,Parisi_per,Votos_Emitidos_per,Votos_Nulos_per,Votos_Blancos_per,Votos_Total_per
DE ARICA Y PARINACOTA,total,15077,25120,8423,6194,983,4703,24296,84796,756,332,85884,17.78,29.62,9.93,7.3,1.16,5.55,28.65,98.73,0.88,0.39,100.0
DE ARICA Y PARINACOTA,ARICA,14763,24070,7921,6020,952,4536,23034,81296,712,295,82303,18.16,29.61,9.74,7.41,1.17,5.58,28.33,98.78,0.87,0.36,100.0
DE ARICA Y PARINACOTA,CAMARONES,111,252,195,57,6,53,375,1049,14,4,1067,10.58,24.02,18.59,5.43,0.57,5.05,35.75,98.31,1.31,0.37,100.0
DE ARICA Y PARINACOTA,GENERAL LAGOS,24,140,39,26,5,26,239,499,7,7,513,4.81,28.06,7.82,5.21,1.0,5.21,47.9,97.27,1.36,1.36,100.0
DE ARICA Y PARINACOTA,PUTRE,179,658,268,91,20,88,648,1952,23,26,2001,9.17,33.71,13.73,4.66,1.02,4.51,33.2,97.55,1.15,1.3,100.0
DE TARAPACA,total,19976,33273,9440,8354,1349,6874,29859,109125,826,538,110489,18.31,30.49,8.65,7.66,1.24,6.3,27.36,98.77,0.75,0.49,100.0
DE TARAPACA,ALTO HOSPICIO,3183,5860,2212,1212,263,1712,9884,24326,173,70,24569,13.08,24.09,9.09,4.98,1.08,7.04,40.63,99.01,0.7,0.28,100.0
DE TARAPACA,CAMIÑA,60,384,47,31,3,16,328,869,7,7,883,6.9,44.19,5.41,3.57,0.35,1.84,37.74,98.41,0.79,0.79,100.0
DE TARAPACA,COLCHANE,17,419,18,10,4,5,433,906,8,1,915,1.88,46.25,1.99,1.1,0.44,0.55,47.79,99.02,0.87,0.11,100.0
DE TARAPACA,HUARA,207,479,157,88,12,78,667,1688,21,16,1725,12.26,28.38,9.3,5.21,0.71,4.62,39.51,97.86,1.22,0.93,100.0
DE TARAPACA,IQUIQUE,15562,24113,6037,6581,982,4687,15755,73717,556,404,74677,21.11,32.71,8.19,8.93,1.33,6.36,21.37,98.71,0.74,0.54,100.0
DE TARAPACA,PICA,403,758,305,203,27,100,743,2539,15,11,2565,15.87,29.85,12.01,8.0,1.06,3.94,29.26,98.99,0.58,0.43,100.0
DE TARAPACA,POZO ALMONTE,544,1260,664,229,58,276,2049,5080,46,29,5155,10.71,24.8,13.07,4.51,1.14,5.43,40.33,98.55,0.89,0.56,100.0
DE ANTOFAGASTA,total,41490,42252,17552,14728,2562,14434,68296,201314,1726,677,203717,20.61,20.99,8.72,7.32,1.27,7.17,33.93,98.82,0.85,0.33,100.0
DE ANTOFAGASTA,ANTOFAGASTA,28156,27264,10143,9976,1635,8870,36236,122280,959,383,123622,23.03,22.3,8.29,8.16,1.34,7.25,29.63,98.91,0.78,0.31,100.0
DE ANTOFAGASTA,CALAMA,8984,11642,4912,3589,606,3949,23532,57214,521,189,57924,15.7,20.35,8.59,6.27,1.06,6.9,41.13,98.77,0.9,0.33,100.0
DE ANTOFAGASTA,MARIA ELENA,265,212,148,73,34,118,964,1814,58,8,1880,14.61,11.69,8.16,4.02,1.87,6.5,53.14,96.49,3.09,0.43,100.0
DE ANTOFAGASTA,MEJILLONES,747,589,350,199,52,270,1656,3863,30,15,3908,19.34,15.25,9.06,5.15,1.35,6.99,42.87,98.85,0.77,0.38,100.0
DE ANTOFAGASTA,OLLAGUE,29,53,25,12,3,27,220,369,2,1,372,7.86,14.36,6.78,3.25,0.81,7.32,59.62,99.19,0.54,0.27,100.0
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,849,453,370,187,66,215,1103,3243,42,25,3310,26.18,13.97,11.41,5.77,2.04,6.63,34.01,97.98,1.27,0.76,100.0
DE ANTOFAGASTA,SIERRA GORDA,102,131,79,27,5,61,234,639,4,0,643,15.96,20.5,12.36,4.23,0.78,9.55,36.62,99.38,0.62,0.0,100.0
DE ANTOFAGASTA,TALTAL,851,720,602,188,56,273,906,3596,33,22,3651,23.67,20.02,16.74,5.23,1.56,7.59,25.19,98.49,0.9,0.6,100.0
DE ANTOFAGASTA,TOCOPILLA,1507,1188,923,477,105,651,3445,8296,77,34,8407,18.17,14.32,11.13,5.75,1.27,7.85,41.53,98.68,0.92,0.4,100.0
DE ATACAMA,total,20418,19015,27497,7097,1360,5313,25409,106109,738,368,107215,19.24,17.92,25.91,6.69,1.28,5.01,23.95,98.97,0.69,0.34,100.0
DE ATACAMA,ALTO DEL CARMEN,260,265,891,87,11,56,365,1935,15,14,1964,13.44,13.7,46.05,4.5,0.57,2.89,18.86,98.52,0.76,0.71,100.0
DE ATACAMA,CALDERA,1516,1263,1680,440,140,458,1741,7238,50,38,7326,20.95,17.45,23.21,6.08,1.93,6.33,24.05,98.8,0.68,0.52,100.0
DE ATACAMA,CHAÑARAL,1053,702,1273,278,51,263,1249,4869,45,20,4934,21.63,14.42,26.14,5.71,1.05,5.4,25.65,98.68,0.91,0.41,100.0
DE ATACAMA,COPIAPO,11766,11839,10373,4341,786,3225,13573,55903,377,160,56440,21.05,21.18,18.56,7.77,1.41,5.77,24.28,99.05,0.67,0.28,100.0
DE ATACAMA,DIEGO DE ALMAGRO,11766,11839,10373,4341,786,3225,13573,55903,377,160,56440,21.05,21.18,18.56,7.77,1.41,5.77,24.28,99.05,0.67,0.28,100.0
DE ATACAMA,FREIRINA,425,305,1168,135,22,69,512,2636,17,12,2665,16.12,11.57,44.31,5.12,0.83,2.62,19.42,98.91,0.64,0.45,100.0
DE ATACAMA,HUASCO,641,538,1309,196,58,193,930,3865,33,15,3913,16.58,13.92,33.87,5.07,1.5,4.99,24.06,98.77,0.84,0.38,100.0
DE ATACAMA,TIERRA AMARILLA,849,737,1163,318,45,279,1616,5007,43,23,5073,16.96,14.72,23.23,6.35,0.9,5.57,32.27,98.7,0.85,0.45,100.0
DE ATACAMA,VALLENAR,2823,2805,8653,1110,174,526,3937,20028,112,66,20206,14.1,14.01,43.2,5.54,0.87,2.63,19.66,99.12,0.55,0.33,100.0
DE COQUIMBO,total,68334,56998,35991,27403,3735,18781,52328,263570,2137,1330,267037,25.93,21.63,13.66,10.4,1.42,7.13,19.85,98.7,0.8,0.5,100.0
DE COQUIMBO,ANDACOLLO,1181,661,797,307,64,408,1172,4590,61,49,4700,25.73,14.4,17.36,6.69,1.39,8.89,25.53,97.66,1.3,1.04,100.0
DE COQUIMBO,CANELA,1161,663,851,294,46,134,679,3828,39,36,3903,30.33,17.32,22.23,7.68,1.2,3.5,17.74,98.08,1.0,0.92,100.0
DE COQUIMBO,COMBARBALA,1212,885,1270,377,67,211,946,4968,56,58,5082,24.4,17.81,25.56,7.59,1.35,4.25,19.04,97.76,1.1,1.14,100.0
DE COQUIMBO,COQUIMBO,18946,15849,7919,7474,1052,5792,14960,71992,554,315,72861,26.32,22.01,11.0,10.38,1.46,8.05,20.78,98.81,0.76,0.43,100.0
DE COQUIMBO,ILLAPEL,3146,1953,2104,1061,150,745,2738,11897,82,70,12049,26.44,16.42,17.69,8.92,1.26,6.26,23.01,98.74,0.68,0.58,100.0
