Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage,City_with_id,City_id
METROPOLITANA DE SANTIAGO,TILTIL,54,14962,7207,48.17,290-TILTIL,290
METROPOLITANA DE SANTIAGO,VITACURA,265,88802,61285,69.01,334-VITACURA,334
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,TOTAL,2351,780303,368870,47.27,total,-99
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,41,13827,5195,37.57,52-CHEPICA,52
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,90,30692,13482,43.93,53-CHIMBARONGO,53
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,35,11661,5409,46.39,29-CODEGUA,29
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COINCO,22,7305,3331,45.6,30-COINCO,30
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,48,16381,7216,44.05,31-COLTAUCO,31
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,59,18597,8770,47.16,32-DOÑIHUE,32
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,80,27062,13581,50.18,34-GRANEROS,34
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LA ESTRELLA,15,3799,1843,48.51,46-LA ESTRELLA,46
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,65,20829,9048,43.44,35-LAS CABRAS,35
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,22,6624,3186,48.1,47-LITUECHE,47
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,21,6957,3026,43.5,54-LOLOL,54
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,114,38282,20631,53.89,36-MACHALI,36
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MALLOA,43,12391,5462,44.08,37-MALLOA,37
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MARCHIGUE,22,7159,3104,43.36,48-MARCHIGUE,48
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,64,21204,9853,46.47,44-MOSTAZAL,44
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,45,15306,6881,44.96,55-NANCAGUA,55
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,21,7214,3246,45.0,49-NAVIDAD,49
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,OLIVAR,42,12567,6280,49.97,33-OLIVAR,33
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,31,10565,4703,44.51,56-PALMILLA,56
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PAREDONES,24,7049,3094,43.89,50-PAREDONES,50
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,30,10158,4443,43.74,57-PERALILLO,57
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PEUMO,39,12895,6030,46.76,38-PEUMO,38
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,50,17017,6955,40.87,39-PICHIDEGUA,39
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,49,16735,8500,50.79,51-PICHILEMU,51
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,25,8296,3962,47.76,58-PLACILLA,58
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,13,4262,1929,45.26,59-PUMANQUE,59
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,37,12463,5892,47.28,40-QUINTA DE TILCOCO,40
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,574,195074,95361,48.88,41-RANCAGUA,41
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,149,49052,23350,47.6,42-RENGO,42
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,69,23324,11777,50.49,43-REQUINOA,43
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,187,63060,30606,48.53,60-SAN FERNANDO,60
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,133,40881,19086,46.69,45-SAN VICENTE,45
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,92,31615,13638,43.14,61-SANTA CRUZ,61
DEL MAULE,TOTAL,2730,892246,409558,45.9,total,-99
DEL MAULE,CAUQUENES,120,37684,15940,42.3,258-CAUQUENES,258
DEL MAULE,CHANCO,34,9369,3654,39.0,259-CHANCO,259
DEL MAULE,COLBUN,55,18716,7739,41.35,270-COLBUN,270
DEL MAULE,CONSTITUCION,122,40149,17751,44.21,278-CONSTITUCION,278
DEL MAULE,CUREPTO,36,10330,4129,39.97,279-CUREPTO,279
DEL MAULE,CURICO,383,118541,58486,49.34,261-CURICO,261
DEL MAULE,EMPEDRADO,15,4523,1835,40.57,280-EMPEDRADO,280
DEL MAULE,HUALAÑE,32,9788,4218,43.09,262-HUALAÑE,262
DEL MAULE,LICANTEN,24,6897,3054,44.28,263-LICANTEN,263
DEL MAULE,LINARES,241,82252,37152,45.17,271-LINARES,271
DEL MAULE,LONGAVI,79,27055,10230,37.81,272-LONGAVI,272
DEL MAULE,MAULE,78,25279,12196,48.25,281-MAULE,281
DEL MAULE,MOLINA,119,39735,19131,48.15,264-MOLINA,264
DEL MAULE,PARRAL,128,38210,16955,44.37,273-PARRAL,273
DEL MAULE,PELARCO,26,8675,3693,42.57,282-PELARCO,282
DEL MAULE,PELLUHUE,26,7912,4124,52.12,260-PELLUHUE,260
DEL MAULE,PENCAHUE,37,10371,4999,48.2,283-PENCAHUE,283
DEL MAULE,RAUCO,29,10014,4387,43.81,265-RAUCO,265
DEL MAULE,RETIRO,52,17799,7381,41.47,274-RETIRO,274
DEL MAULE,RIO CLARO,36,12186,5579,45.78,284-RIO CLARO,284
DEL MAULE,ROMERAL,41,14037,6502,46.32,266-ROMERAL,266
DEL MAULE,SAGRADA FAMILIA,50,16115,7430,46.11,267-SAGRADA FAMILIA,267
DEL MAULE,SAN CLEMENTE,110,37611,15050,40.01,285-SAN CLEMENTE,285
DEL MAULE,SAN JAVIER,117,39506,16119,40.8,275-SAN JAVIER,275
DEL MAULE,SAN RAFAEL,26,8670,4168,48.07,286-SAN RAFAEL,286
DEL MAULE,TALCA,532,181299,92542,51.04,287-TALCA,287
DEL MAULE,TENO,73,25073,9920,39.56,268-TENO,268
DEL MAULE,VICHUQUEN,21,5335,2782,52.15,269-VICHUQUEN,269
DEL MAULE,VILLA ALEGRE,41,14020,5971,42.59,276-VILLA ALEGRE,276
DEL MAULE,YERBAS BUENAS,47,15095,6441,42.67,277-YERBAS BUENAS,277
DE ÑUBLE,TOTAL,1342,430998,193952,45.0,total,-99
DE ÑUBLE,BULNES,67,20644,8750,42.39,237-BULNES,237
DE ÑUBLE,CHILLAN,453,153992,72332,46.97,238-CHILLAN,238
DE ÑUBLE,CHILLAN VIEJO,68,22712,11230,49.45,239-CHILLAN VIEJO,239
DE ÑUBLE,COBQUECURA,19,5904,2606,44.14,240-COBQUECURA,240
DE ÑUBLE,COELEMU,57,15372,7739,50.34,241-COELEMU,241
DE ÑUBLE,COIHUECO,73,22439,9745,43.43,242-COIHUECO,242
DE ÑUBLE,EL CARMEN,39,12469,5168,41.45,243-EL CARMEN,243
DE ÑUBLE,NINHUE,21,6078,2454,40.38,23697-NINHUE,23697
DE ÑUBLE,ÑIQUEN,34,10758,4731,43.98,245-ÑIQUEN,245
DE ÑUBLE,PEMUCO,29,8294,3409,41.1,246-PEMUCO,246
DE ÑUBLE,PINTO,37,11523,5199,45.12,247-PINTO,247
DE ÑUBLE,PORTEZUELO,23,5797,2718,46.89,248-PORTEZUELO,248
DE ÑUBLE,QUILLON,49,15977,6707,41.98,249-QUILLON,249
DE ÑUBLE,QUIRIHUE,37,10977,5200,47.37,250-QUIRIHUE,250
DE ÑUBLE,RANQUIL,20,5833,2764,47.39,251-RANQUIL,251
DE ÑUBLE,SAN CARLOS,142,47823,19651,41.09,252-SAN CARLOS,252
DE ÑUBLE,SAN FABIAN,17,5149,2338,45.41,253-SAN FABIAN,253
DE ÑUBLE,SAN IGNACIO,52,14746,6222,42.19,254-SAN IGNACIO,254
DE ÑUBLE,SAN NICOLAS,36,11810,5432,45.99,255-SAN NICOLAS,255
DE ÑUBLE,TREHUACO,20,6241,2694,43.17,TREHUACO,-99
DE ÑUBLE,YUNGAY,49,16460,6863,41.7,257-YUNGAY,257
DEL BIOBIO,TOTAL,4322,1337610,620290,46.37,total,-99
DEL BIOBIO,ALTO BIOBIO,19,5583,2008,35.97,211-ALTO BIOBIO,211
DEL BIOBIO,ANTUCO,15,4687,1880,40.11,212-ANTUCO,212
DEL BIOBIO,ARAUCO,118,31244,14605,46.74,204-ARAUCO,204
DEL BIOBIO,CABRERO,74,25305,10955,43.29,213-CABRERO,213
