Region,City,Boric,Boric_per,Kast,Kast_per,Provoste,Provoste_per,Sichel,Sichel_per,Artes,Artes_per,Enriquez,Enriquez_per,Parisi,Parisi_per,Votos_Emitidos,Votos_Emitidos_per,Votos_Nulos,Votos_Nulos_per,Votos_Blancos,Votos_Blancos_per,Votos_Total,Votos_Total_per,City_id,City_with_id,Region_id,Region_with_id
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,925,18.01,1559,30.35,841,16.37,853,16.61,34,0.66,338,6.58,586,11.41,5136,98.86,34,0.65,25,0.48,5195,100.0,52,52-CHEPICA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,2540,19.21,3464,26.2,1980,14.98,1797,13.59,122,0.92,980,7.41,2337,17.68,13220,98.06,143,1.06,119,0.88,13482,100.0,53,53-CHIMBARONGO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,1327,24.99,1175,22.13,642,12.09,578,10.89,58,1.09,522,9.83,1008,18.98,5310,98.17,64,1.18,35,0.65,5409,100.0,29,29-CODEGUA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COINCO,769,23.51,946,28.92,344,10.52,475,14.52,24,0.73,291,8.9,422,12.9,3271,98.2,37,1.11,23,0.69,3331,100.0,30,30-COINCO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,1526,21.44,1880,26.41,974,13.68,943,13.25,74,1.04,582,8.18,1139,16.0,7118,98.64,59,0.82,39,0.54,7216,100.0,31,31-COLTAUCO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,2293,26.49,1975,22.82,1009,11.66,1085,12.54,93,1.07,760,8.78,1440,16.64,8655,98.69,69,0.79,46,0.52,8770,100.0,32,32-DOÑIHUE,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,3724,27.9,2891,21.66,1517,11.36,1479,11.08,153,1.15,1348,10.1,2238,16.76,13350,98.3,166,1.22,65,0.48,13581,100.0,34,34-GRANEROS,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LA ESTRELLA,406,22.47,514,28.44,326,18.04,301,16.66,19,1.05,113,6.25,128,7.08,1807,98.05,12,0.65,24,1.3,1843,100.0,46,46-LA ESTRELLA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,1993,22.5,2392,27.01,1471,16.61,1282,14.48,104,1.17,779,8.8,835,9.43,8856,97.88,95,1.05,97,1.07,9048,100.0,35,35-LAS CABRAS,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,673,21.49,935,29.85,615,19.64,470,15.01,31,0.99,200,6.39,208,6.64,3132,98.31,26,0.82,28,0.88,3186,100.0,47,47-LITUECHE,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,568,19.13,812,27.35,654,22.03,569,19.16,18,0.61,120,4.04,228,7.68,2969,98.12,18,0.59,39,1.29,3026,100.0,54,54-LOLOL,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,5093,25.0,5586,27.42,1848,9.07,3171,15.56,172,0.84,1619,7.95,2884,14.16,20373,98.75,165,0.8,93,0.45,20631,100.0,36,36-MACHALI,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MALLOA,1064,19.8,1691,31.47,794,14.77,682,12.69,43,0.8,414,7.7,686,12.77,5374,98.39,63,1.15,25,0.46,5462,100.0,37,37-MALLOA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MARCHIGUE,669,21.81,755,24.61,595,19.39,605,19.72,33,1.08,171,5.57,240,7.82,3068,98.84,15,0.48,21,0.68,3104,100.0,48,48-MARCHIGUE,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,2657,27.4,2281,23.53,1117,11.52,1063,10.96,128,1.32,856,8.83,1594,16.44,9696,98.41,104,1.06,53,0.54,9853,100.0,44,44-MOSTAZAL,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,1332,19.61,1661,24.45,1276,18.78,1064,15.66,60,0.88,395,5.81,1006,14.81,6794,98.74,44,0.64,43,0.62,6881,100.0,55,55-NANCAGUA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,807,25.29,761,23.85,622,19.49,527,16.52,53,1.66,217,6.8,204,6.39,3191,98.31,27,0.83,28,0.86,3246,100.0,49,49-NAVIDAD,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
