Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage,City_id,City_with_id,Region_id,Region_with_id
DE VALPARAISO,OLMUE,49,16687,9419,56.45,181,181-OLMUE,1091,1091-DE VALPARAISO
DE VALPARAISO,PANQUEHUE,20,6644,3972,59.78,191,191-PANQUEHUE,1091,1091-DE VALPARAISO
DE VALPARAISO,PAPUDO,22,6309,4325,68.55,173,173-PAPUDO,1091,1091-DE VALPARAISO
DE VALPARAISO,PETORCA,30,9415,5102,54.19,174,174-PETORCA,1091,1091-DE VALPARAISO
DE VALPARAISO,PUCHUNCAVI,65,16733,10211,61.02,23471,23471-PUCHUNCAVI,1091,1091-DE VALPARAISO
DE VALPARAISO,PUTAENDO,42,14163,7796,55.04,192,192-PUTAENDO,1091,1091-DE VALPARAISO
DE VALPARAISO,QUILLOTA,223,75874,42595,56.14,182,182-QUILLOTA,1091,1091-DE VALPARAISO
DE VALPARAISO,QUILPUE,398,135645,81308,59.94,199,199-QUILPUE,1091,1091-DE VALPARAISO
DE VALPARAISO,QUINTERO,74,25195,14208,56.39,200,200-QUINTERO,1091,1091-DE VALPARAISO
DE VALPARAISO,RINCONADA,28,9605,5977,62.23,169,169-RINCONADA,1091,1091-DE VALPARAISO
DE VALPARAISO,SAN ANTONIO,232,78647,46423,59.03,187,187-SAN ANTONIO,1091,1091-DE VALPARAISO
DE VALPARAISO,SAN ESTEBAN,45,15496,9189,59.3,170,170-SAN ESTEBAN,1091,1091-DE VALPARAISO
DE VALPARAISO,SAN FELIPE,178,60113,34070,56.68,193,193-SAN FELIPE,1091,1091-DE VALPARAISO
DE VALPARAISO,SANTA MARIA,36,12169,6789,55.79,194,194-SANTA MARIA,1091,1091-DE VALPARAISO
DE VALPARAISO,SANTO DOMINGO,35,11869,8409,70.85,188,188-SANTO DOMINGO,1091,1091-DE VALPARAISO
DE VALPARAISO,VALPARAISO,940,287931,153082,53.17,201,201-VALPARAISO,1091,1091-DE VALPARAISO
DE VALPARAISO,VILLA ALEMANA,293,100481,60590,60.3,202,202-VILLA ALEMANA,1091,1091-DE VALPARAISO
DE VALPARAISO,VIÑA DEL MAR,947,302008,172591,57.15,203,203-VIÑA DEL MAR,1091,1091-DE VALPARAISO
DE VALPARAISO,ZAPALLAR,28,9155,6382,69.71,175,175-ZAPALLAR,1091,1091-DE VALPARAISO
METROPOLITANA DE SANTIAGO,TOTAL,18166,5862179,3459781,59.02,-99,total,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ALHUE,21,6118,3062,50.05,298,298-ALHUE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,BUIN,253,78010,47122,60.41,294,294-BUIN,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CALERA DE TANGO,67,22524,14428,64.06,295,295-CALERA DE TANGO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CERRILLOS,205,66557,38146,57.31,303,303-CERRILLOS,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CERRO NAVIA,350,113693,61113,53.75,304,304-CERRO NAVIA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,COLINA,278,94052,55813,59.34,288,288-COLINA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CONCHALI,387,116290,65347,56.19,305,305-CONCHALI,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CURACAVI,79,27147,16689,61.48,299,299-CURACAVI,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,EL BOSQUE,434,135969,76018,55.91,306,306-EL BOSQUE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,EL MONTE,83,28129,16563,58.88,335,335-EL MONTE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,399,125639,64349,51.22,18258,18258-ESTACION CENTRAL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,HUECHURABA,223,74581,48268,64.72,308,308-HUECHURABA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,246,82526,40345,48.89,309,309-INDEPENDENCIA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ISLA DE MAIPO,83,28606,17390,60.79,336,336-ISLA DE MAIPO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA CISTERNA,259,81931,48228,58.86,310,310-LA CISTERNA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA FLORIDA,918,308805,194866,63.1,311,311-LA FLORIDA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA GRANJA,318,102187,55922,54.73,312,312-LA GRANJA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA PINTANA,508,137994,69142,50.11,313,313-LA PINTANA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA REINA,283,90939,63597,69.93,314,314-LA REINA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LAMPA,187,62829,35916,57.16,289,289-LAMPA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LAS CONDES,803,271386,184227,67.88,315,315-LAS CONDES,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LO BARNECHEA,248,84259,59439,70.54,316,316-LO BARNECHEA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LO ESPEJO,305,88815,47637,53.64,317,317-LO ESPEJO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LO PRADO,272,86901,49629,57.11,318,318-LO PRADO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MACUL,370,100045,64014,63.99,319,319-MACUL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MAIPU,1186,392526,253298,64.53,320,320-MAIPU,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MARIA PINTO,35,11862,6922,58.35,300,300-MARIA PINTO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MELIPILLA,286,98064,52407,53.44,301,301-MELIPILLA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ÑUÑOA,616,198985,139002,69.86,321,321-ÑUÑOA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PADRE HURTADO,136,46684,29820,63.88,337,337-PADRE HURTADO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PAINE,166,55091,32635,59.24,296,296-PAINE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,337,91490,55279,60.42,322,322-PEDRO AGUIRRE CERDA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PEÑAFLOR,215,73422,44966,61.24,338,338-PEÑAFLOR,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PEÑALOLEN,582,190640,115618,60.65,323,323-PEÑALOLEN,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PIRQUE,80,23505,14876,63.29,291,291-PIRQUE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PROVIDENCIA,508,170892,104699,61.27,324,324-PROVIDENCIA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PUDAHUEL,510,169810,100011,58.9,325,325-PUDAHUEL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PUENTE ALTO,1276,403129,233459,57.91,292,292-PUENTE ALTO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,QUILICURA,418,141793,85284,60.15,326,326-QUILICURA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,304,101182,56432,55.77,327,327-QUINTA NORMAL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,RECOLETA,466,140460,76282,54.31,328,328-RECOLETA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,RENCA,346,115788,63291,54.66,329,329-RENCA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN BERNARDO,679,228550,120406,52.68,297,297-SAN BERNARDO,1092,1092-METROPOLITANA DE SANTIAGO
